Dual_Attn_1_-1_6
(2.9274637699127197, 1.0578151941299438)
Prepare Data : 8.548205 s
Epoch 38 : Train MSE : 1.018633, Train MAE : 0.702592 , Test MSE : 1.458372 , Test MAE : 0.786512 , Lr : 0.000250 , Time: 91.462903 s .
Epoch 39 : Train MSE : 1.033667, Train MAE : 0.717339 , Test MSE : 1.475630 , Test MAE : 0.803434 , Lr : 0.000250 , Time: 85.784682 s .
Epoch 40 : Train MSE : 1.023149, Train MAE : 0.704808 , Test MSE : 1.477265 , Test MAE : 0.794238 , Lr : 0.000250 , Time: 88.581096 s .
Epoch 41 : Train MSE : 1.014972, Train MAE : 0.707731 , Test MSE : 1.466187 , Test MAE : 0.800485 , Lr : 0.000250 , Time: 87.731243 s .
Epoch 42 : Train MSE : 1.009914, Train MAE : 0.701798 , Test MSE : 1.470631 , Test MAE : 0.793266 , Lr : 0.000250 , Time: 89.410003 s .
Epoch 43 : Train MSE : 0.996717, Train MAE : 0.697716 , Test MSE : 1.455108 , Test MAE : 0.788872 , Lr : 0.000250 , Time: 90.852513 s .
Epoch 44 : Train MSE : 1.010475, Train MAE : 0.707506 , Test MSE : 1.474159 , Test MAE : 0.800145 , Lr : 0.000250 , Time: 93.871241 s .
Epoch 45 : Train MSE : 1.013496, Train MAE : 0.713433 , Test MSE : 1.455509 , Test MAE : 0.801237 , Lr : 0.000250 , Time: 89.923772 s .
Epoch 46 : Train MSE : 0.988204, Train MAE : 0.694647 , Test MSE : 1.457319 , Test MAE : 0.789935 , Lr : 0.000250 , Time: 87.597511 s .
Epoch 47 : Train MSE : 1.067528, Train MAE : 0.738669 , Test MSE : 1.532158 , Test MAE : 0.826875 , Lr : 0.000250 , Time: 95.439059 s .
Epoch 48 : Train MSE : 0.990797, Train MAE : 0.699477 , Test MSE : 1.456869 , Test MAE : 0.791864 , Lr : 0.000250 , Time: 89.333322 s .
Epoch 49 : Train MSE : 0.987772, Train MAE : 0.699516 , Test MSE : 1.455179 , Test MAE : 0.793461 , Lr : 0.000250 , Time: 91.775585 s .
Epoch 50 : Train MSE : 0.972853, Train MAE : 0.690662 , Test MSE : 1.448137 , Test MAE : 0.786982 , Lr : 0.000250 , Time: 94.451243 s .
Epoch 51 : Train MSE : 0.989412, Train MAE : 0.704573 , Test MSE : 1.473952 , Test MAE : 0.806399 , Lr : 0.000250 , Time: 94.117830 s .
